03d170f9-f460-3e73-8c72-17a8104f6d23;9fbec2f4-6b42-4e63-9573-14e04befe20f;1;4-Methyl-2-pentanone;emissions to air/high. pop.;;4-Methyl-2-pentanone;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
5ff1950f-1ef9-3bb2-981e-efe3c99f37c4;dec83914-1ca6-4707-b65d-2706da3a3988;1;4-Methyl-2-pentanone;emissions to water/river;;4-Methyl-2-pentanone;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
4f9a5fc7-cfef-3d8b-a2e9-99496e2fdbc7;f9d36529-abde-4ed2-a82c-d365ae2c713f;1;4-Methyl-2-pentanone;emissions to water/unspecified;;4-Methyl-2-pentanone;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0bbd50b2-7fb1-37aa-9354-687b4eab0695;3166d308-cc57-4d31-b42e-63c7eada821f;1;Abamectin;emissions to soil/agricultural;;Abamectin;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8ddbf3d2-27eb-3569-9d10-2a2c835a1ffb;99c07b66-c039-4896-866d-06abdaa9d46a;1;Acenaphthene;emissions to air/high. pop.;;Acenaphthene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
97d6305d-6cff-3c4f-9ada-e12210e98ece;922a7ccf-3338-43ad-bd7e-77d51df051ab;1;Acenaphthene;emissions to air/low. pop.;;Acenaphthene;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
52b49ee3-7e0d-3fbb-889c-5d7a96dce219;1f4afa32-a9a2-40da-8396-104452cb637f;1;Acenaphthene;emissions to air/unspecified;;Acenaphthene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
319d984d-5837-354e-a321-4443e3e86611;a6ad3fc7-c019-454f-a899-43be7913a598;1;Acenaphthene;emissions to water/ocean;;Acenaphthene;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3dcd5a85-c2b4-3be2-8958-d65396d961d4;a9d521d5-fe73-4726-830a-9d9aa0356b92;1;Acenaphthene;emissions to water/river;;Acenaphthene;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1baf9792-81dd-3db0-91b3-7e8fd86c5509;e0346157-1f0e-4bf9-b234-78fead761e18;1;Acenaphthylene;emissions to air/unspecified;;Acenaphthylene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
