0a28989c-9c9c-341a-8538-5ab887527542;9f550c00-0f0f-45e7-a29c-a450752d4c7a;1;Monoethanolamine;emissions to air/unspecified;;Monoethanolamine;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
03aa9653-36c5-30f3-a827-16ca9180ebac;ef4884eb-c75d-4ef8-9170-11b20401cbca;1;Monosodium acid methanearsonate;emissions to soil/agricultural;;MSMA;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
f3bffb11-efe2-3d79-9b41-180099044219;10571d92-ea97-4ac6-adb6-b25893a631cb;1;m-Xylene;emissions to air/high. pop.;;m-Xylene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
dd8305a9-5ecd-3e98-b7d4-ee664b3e6ed8;d24f41d7-279e-4f5a-9ac9-00f726dc3bcc;1;m-Xylene;emissions to air/low. pop.;;m-Xylene;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
2a9a8388-244f-3b6e-b8ed-fec35aa61740;cfdbc576-e8dc-44ef-bdf2-ddd7009ce57e;1;m-Xylene;emissions to air/unspecified;;m-Xylene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
190e8880-1dd5-3ed2-bcc8-20d487bb3594;309785ae-645a-4541-b225-5422d73b21a6;1;m-Xylene;emissions to water/river;;m-Xylene;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e39ef9e1-177d-31c4-aa45-4808b27905aa;feb813f2-ff76-4f52-a966-55297494de4a;1;m-Xylene;emissions to water/unspecified;;m-Xylene;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
af44fdff-225e-39f9-abe8-ae77b00246dc;3df4c2f4-c854-4493-b514-f2f3accdc307;1;Naphthalene;emissions to air/unspecified;;Naphthalene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
a36b9d84-92f4-36d2-a03b-9fe0e411944f;3abc10f5-6d9c-4526-bcc4-d9819689084c;1;N-(2,3-dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide;emissions to soil/agricultural;;N-(2,3-dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
cf168f51-6bcb-387a-a55e-cb1d9f00744c;f72b4424-929b-4c74-99e4-60b0ad364995;1;Naled;emissions to soil/agricultural;;Naled;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
542b17e9-348a-3dfb-9411-2fa196a1ed09;93e6ef92-1ef2-479c-a908-1b487af9cef7;1;Naphthalene;emissions to air/high. pop.;;Naphthalene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3792e147-009d-33d2-a038-b8ff6e3a0b9b;db0c855c-e9ef-58d9-97cc-960e646fc882;1;Neodymium;resources/in ground;;Neodymium;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7c3a5ca7-8ab6-3256-814e-1c2c2ae26ed6;fe0acd60-3ddc-11dd-a9e5-0050c2490048;1;Naphthalene;emissions to water/ocean;;Naphthalene;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
63106c29-376c-36ef-b64f-423683b81834;eb3a772f-958c-4b2e-8d0c-68d98459f70f;1;Naphthalene;emissions to water/river;;Naphthalene;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e3c76017-3806-3be3-ba05-92d634b7f1a0;9122eb15-12c8-4621-a036-209f6c06e3fb;1;Napropamide;emissions to soil/agricultural;;Napropamide;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
566ff4f9-6ef4-3db7-8f67-639e9e48935b;0545c382-2312-43b6-9ec3-63dbb1438565;1;Nickel;emissions to air/stratosphere + troposphere;;Nickel II;Elementary flows/Emission to air/lower stratosphere + upper troposphere;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
69cb030f-abc2-34cc-a181-37ceb0e02a2a;e43a270f-4f88-4789-a0b8-7aba56677743;1;Nickel;emissions to air/high. pop.;;Nickel II;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
456ab6cb-c0be-36d1-ba0e-e0b55cb67565;e8fc62ba-678e-4706-97d2-b79d83e227d5;1;Nickel;emissions to air/low. pop.;;Nickel II;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
5f440454-3a52-37c0-9292-b7171d8c0742;c89873de-cd23-4323-a948-f5cfeebd2fc9;1;Nickel;emissions to air/low. pop., long-term;;Nickel II;Elementary flows/Emission to air/low population density, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
88476ddb-fdc0-36fa-a869-5cdcb298197b;a5506f4b-113f-4713-95c3-c819dde6e48b;1;Nickel;emissions to air/unspecified;;Nickel II;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1b7bde2f-7717-3053-ac5f-a4f63b1ef0a5;b4580545-243d-48d2-a3a0-2633a4f46fb1;1;Nickel;emissions to soil/agricultural;;Nickel II;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
60f47e7b-6703-3d75-b357-0d86f48c48e7;2bcad3b3-5305-481c-a166-ad5e6eac2675;1;Nickel;emissions to soil/unspecified;;Nickel II;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
180bb50f-f920-35f5-95c7-8abfedd81d49;a72a45ee-395a-4d25-b893-9d183e43e76e;1;Nickel;emissions to soil/industrial;;Nickel II;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0afa5e21-197d-3c7b-bcd0-dd796b1f21c1;e030108f-2125-4bcb-a73b-ad72130fcca3;1;Nickel;emissions to water/groundwater;;Nickel II;Elementary flows/Emission to water/ground water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
79a6e6d5-c5ad-395f-8a6c-8eb0cd150cbc;77b23aa4-9f0a-4d3f-8857-29ee054cdae1;1;Nickel;emissions to water/river;;Nickel II;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8b14caea-bf9e-3a4d-8128-3b02721054aa;9f69cb8e-51fe-447b-a1ac-4da74de8ebe4;1;Nickel;emissions to water/groundwater, long-term;;Nickel II;Elementary flows/Emission to water/ground water, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
cef380ce-2636-3595-9c95-7c4d010f8de7;c742a8cc-6f9c-4742-879c-a18be0d6e5ad;1;Nickel;emissions to water/lake;;Nickel II;Elementary flows/Emission to water/lake;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
263c07f9-566c-3b88-b95d-6356a313d4d5;08a91e70-3ddc-11dd-96d0-0050c2490048;1;Nickel;emissions to water/ocean;;Nickel II;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
fb2fe87e-4e0c-3539-b406-4f9517c07ce0;63e7fe55-8549-11e0-9d78-0800200c9a66;1;Nickel;emissions to water/unspecified;;Nickel II;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
345a0013-45b6-3a44-a6ca-aef3f81c64ab;e5ea66ee-28e2-4e9b-9a25-4414551d821c;1;Nitrogen;emissions to air/unspecified;;Nitrogen;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
abc6eef6-8544-39c1-8162-315c5fdfe433;e43a270f-4f88-4789-a0b8-7aba56677743;1;Nickel II;emissions to air/high. pop.;;Nickel II;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
113024c5-e41b-3ff7-a15e-c59d46ed45b9;86c6e6cd-c2f5-4977-bad6-ce9cd48cf721;1;Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore;resources/in ground;;Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c952a044-3ff2-355c-a08d-0e5342df2272;e47e4e5f-6528-413d-a8fb-1cd1875fbd73;1;Nickel, 1.98% in silicates, 1.04% in crude ore;resources/in ground;;Nickel, 1.98% in silicates, 1.04% in crude ore;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c1a18987-9d4c-3388-a3b4-e73681750a1c;e63d51b1-5e9d-3db8-8d1f-2b72a4010636;1;Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore;resources/in ground;;Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore;Elementary flows/Resource/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
9e829948-212f-315a-9f79-a24fe4374bba;17f04213-ecb8-3561-aac6-0fdb3295777a;1;Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore;resources/in ground;;Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7b37e135-8c24-3e11-bbc2-f94f7be832a5;ff48fd98-bbf2-3488-ad4c-7dfbc5474ed9;1;Nickel, resource correction;resources/in ground;;Nickel, resource correction;Elementary flows/Resource/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c69ce450-f2e1-35f5-910e-0350a16da2a5;504672ba-784f-4c87-bf3e-ede17992e4a2;1;Nicosulfuron;emissions to soil/agricultural;;Nicosulfuron;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d4f3fb52-c05d-33e9-a46a-f12a5bcd7e74;6f1e995b-5915-4363-bd2c-d1e76ee446e0;1;Niobium-95;emissions to air/low. pop.;;Niobium-95;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
ce7b86cb-8e3d-35df-b542-faa8f647dc01;8f4c51d1-8cb0-4c6e-8da4-0aae01c5bd64;1;Niobium-95;emissions to water/river;;Niobium-95;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
45e6aa97-45f0-375e-bcc1-162ce0f6b1ea;15ca802b-f541-44aa-bd33-35560a053193;1;Nitrate;emissions to air/high. pop.;;Nitrate;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
02848138-357b-375e-bfdb-c3e8b2106273;cbd70647-6237-462a-9d01-d197a8b08506;1;Nitrate;emissions to air/low. pop.;;Nitrate;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
11fe4b5d-3d0b-3de3-8e3d-0e7011ef488e;205617ae-ebc5-4245-8df6-8710d5d40615;1;Nitrate;emissions to air/low. pop., long-term;;Nitrate;Elementary flows/Emission to air/low population density, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
abcd913a-6d0a-305c-a271-85137fc85761;5e7cf95c-9cc3-4479-89af-55377b3db99c;1;Nitrate;emissions to air/unspecified;;Nitrate;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
b5f643da-6026-3fc9-bb97-3b07ef021159;02d76658-26bd-4b75-b52e-f1db3139d7a4;1;Nitrate;emissions to soil/industrial;;Nitrate;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
b3e5cfb0-a666-3f75-a4f9-2f913217e77f;774c181d-18a7-4096-aa99-56801ef6b909;1;Nitrate;emissions to soil/unspecified;;Nitrate;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ef928ad0-6c24-3f05-84a2-583ed2c16b24;b9291c72-4b1d-4275-8068-4c707dc3ce33;1;Nitrate;emissions to water/groundwater;;Nitrate;Elementary flows/Emission to water/ground water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ccd3daff-431a-36d7-be08-d0410f767b17;b61057a3-a0bc-4158-882e-b819c4797419;1;Nitrate;emissions to water/groundwater, long-term;;Nitrate;Elementary flows/Emission to water/ground water, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
f9878578-cbcb-3b6c-a69b-9cbbcee2be8a;2ccfa703-d0fe-4d27-9220-ba5ef2e97c6e;1;Nitrate;emissions to water/lake;;Nitrate;Elementary flows/Emission to water/lake;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d85ba4dd-6d5b-3a22-bc2e-f12be44ab96d;43c700bb-0b3b-4fb1-8bd1-3d1da82b6844;1;Nitrate;emissions to water/ocean;;Nitrate;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7a444bc6-2ce6-3571-869d-ccbb047cea1e;180520a0-34e8-4058-bac9-27cbbb32c527;1;Nitrate;emissions to water/river;;Nitrate;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
f87f9373-1748-36b9-a496-ff69951438d3;5189de76-6bbb-44ba-8c42-5714f1b4371f;1;Nitrate;emissions to water/unspecified;;Nitrate;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
35ae537f-4eb2-3daf-bc82-3f56428bf572;37d014cb-8c2d-4c98-ab5c-2d4550822c2f;1;Nitric acid;emissions to air/high. pop.;;Nitric acid;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
73e466bc-d6d6-3c7b-8ebe-db769b9b0f16;878e2773-1894-46c9-8fff-e19ba327f680;1;Nitric acid;emissions to water/unspecified;;Nitric acid;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0f60330d-c7df-3171-82a3-96c6b60f98e6;f5d022f1-c26d-4044-ac88-d7c5bbff83c4;1;Nitrite;emissions to water/groundwater, long-term;;Nitrite;Elementary flows/Emission to water/ground water, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
bc015f42-9adc-37d7-b183-26258b3096a7;2f19a0af-a516-4f89-88ba-4c6b7cd52650;1;Nitrite;emissions to water/ocean;;Nitrite;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c677dd55-f234-3131-8c2a-f6f1ca424c5c;09257c34-f323-436a-81be-ef90e9171ed2;1;Nitrite;emissions to water/river;;Nitrite;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
a3233e69-9280-3356-a4b6-f57267b0af88;9f5bfac4-cbb6-4b38-afb9-cf563fc5ca15;1;Nitrite;emissions to water/unspecified;;Nitrite;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
4b7c6973-fd08-3390-b93f-ca1e26951838;1753af55-cfa1-4fb2-a059-33594a759982;1;Nitrobenzene;emissions to air/high. pop.;;Nitrobenzene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e969be38-8a4f-3fe0-965b-658af49341bc;3be7ab07-a4fd-4d32-a31f-134d2c5b5143;1;Nitrobenzene;emissions to air/unspecified;;Nitrobenzene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
6a748094-32a3-3a2a-8a2d-a869605b5be1;e3d5f160-6ed6-4d63-b0f4-2e1f05b9a590;1;Nitrobenzene;emissions to water/river;;Nitrobenzene;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d730927b-21c6-3931-93dd-d736ebee705c;183aa819-941d-48b4-9d47-7e725d1813bb;1;Nitrobenzene;emissions to water/unspecified;;Nitrobenzene;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
65f63ad9-674e-3e36-bdad-87d4767be98f;c5aafa60-495c-461c-a1d4-b262a34c45b9;1;Occupation, annual crop;resources/land;;Occupation, annual crop;Elementary flows/Resource/land;;;;93a60a56-a3c8-21da-a746-0800200c9a66;Area*Time;;m2a;c7266b67-4ea2-457f-b391-9b94e26e195a;m2*a
70a69f57-6b03-3683-956c-3ffdb55135e2;7ce704ce-2a44-448b-b198-f00bf5928b4b;1;Nitrogen;emissions to soil/agricultural;;Nitrogen;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
2fc556b9-5b45-37d7-9b1a-6f6a8975854e;eadc37a4-8b1e-4dd2-8f4a-39d89d5f39ba;1;Nitrogen;emissions to soil/industrial;;Nitrogen;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e8444172-5650-3600-bc49-f124f70689a6;996829cc-2d40-418a-beda-7c50399952f9;1;Nitrogen;emissions to water/ocean;;Nitrogen;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
faa90860-e96a-3b5b-a093-3abb150175a1;14855254-9651-473b-92a2-1d0e4438ddbd;1;Nitrogen;emissions to water/river;;Nitrogen;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
00bccf68-135f-36d0-966e-1f14050b53ee;dcfe0815-6fa3-4e1d-a55e-155b29904f1d;1;Nitrogen;emissions to water/unspecified;;Nitrogen;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
98a15eed-1e8f-328f-94e9-09688dbc34ea;1b8d1b12-8538-11e0-9d78-0800200c9a66;1;Nitrogen;resources/in air;;Nitrogen;Elementary flows/Resource/in air;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e981d46c-18fa-3319-b6d5-08ef60ecf106;0b7e10a8-6ca0-4a50-a39b-f2a019cb3610;1;Nitrogen dioxide;emissions to air/unspecified;;Nitrogen dioxide;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3ba5d219-3237-36cb-a1b1-ff4131c355a5;0b7e10a8-6ca0-4a50-a39b-f2a019cb3610;1;Nitrogen dioxide, RAF;emissions to air/unspecified;;Nitrogen dioxide;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
197fc558-9c7a-3bd0-b6bd-db013b1ec9ee;1fdc280a-34d3-4513-b110-3f526b17c443;1;Nitrogen fluoride;emissions to air/high. pop.;;Nitrogen fluoride;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
06643bbe-aa18-3f50-9fff-160dd62677b3;e79e03c3-5b19-45f6-b3f3-bf710c6663d2;1;Nitrogen fluoride;emissions to air/unspecified;;Nitrogen fluoride;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
cd1dca34-7fba-30fe-91a6-4c627b648a8c;08a91e70-3ddc-11dd-96ee-0050c2490048;1;Nitrogen monoxide;emissions to air/unspecified;;Nitrogen monoxide;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
2b5925ae-b7f2-3ba4-912a-70014f35514d;d068f3e2-b033-417b-a359-ca4f25da9731;1;Nitrogen oxides;emissions to air/high. pop.;;Nitrogen oxides;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
6a9cbc87-1583-3b4b-a75c-8cceb4991833;77357947-ccc5-438e-9996-95e65e1e1bce;1;Nitrogen oxides;emissions to air/low. pop.;;Nitrogen oxides;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
80271a2f-fc93-3ea3-9122-8d24264932fe;4841a0fe-c250-4a39-94a1-1bc31426c0f1;1;Nitrogen oxides;emissions to air/stratosphere + troposphere;;Nitrogen oxides;Elementary flows/Emission to air/lower stratosphere + upper troposphere;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
bf218599-6e7f-3d48-89fb-decfe3dc641a;c1b91234-6f24-417b-8309-46111d09c457;1;Nitrogen oxides;emissions to air/unspecified;;Nitrogen oxides;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8605f919-10c0-3006-8d0b-1091205d2e86;15cfc784-a719-4230-ad2e-f4104d56c427;1;Nitrogen, organic bound;emissions to water/groundwater, long-term;;Nitrogen, organic bound;Elementary flows/Emission to water/ground water, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
988fd566-2eee-3855-86de-8b303939e383;77c7dcf8-1d10-4725-9f8f-bcdccaed0836;1;Nitrogen, organic bound;emissions to water/ocean;;Nitrogen, organic bound;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7b32ff74-e3db-3b0b-99a1-665ee60d91ac;2732c215-d02a-4f48-84c5-c18ab6143d1d;1;Nitrogen, organic bound;emissions to water/river;;Nitrogen, organic bound;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
14cdaf6b-c285-32f7-af6e-343ce29a9c1c;a703733d-fabc-487b-826a-06c11ac4c0c6;1;Nitrogen, organic bound;emissions to water/unspecified;;Nitrogen, organic bound;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
fe63a3c9-312a-355a-a34c-df3073d24dba;175baa64-d985-4c5e-84ef-67cc3a1cf952;1;NMVOC, non-methane volatile organic compounds;emissions to air/high. pop.;;NMVOC, non-methane volatile organic compounds;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
