LCIA method,NW set - ID,NW set - name,LCIA category,Nomalisation factor,Weighting factor,Weighting score unit
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",44c2d0e0-0745-3f3e-bffb-bfaea092e3c4,5.780346820809249E8,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",4b4ead48-6399-327e-9739-5321ce805c7b,5.714285714285714E13,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",4c93a806-0b15-3a3b-bb1c-a2efb81dc86e,2.040816326530612E12,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",5008587e-8d72-3402-80df-68e20d636b51,5.128205128205128E14,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",6f3b47a9-7d7b-3a96-b8c3-91139ae57f56,4.23728813559322E13,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",73a47a0e-d1bf-302e-9ccb-5acd886512e3,2.6881720430107526E11,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",a30f30eb-d5ff-3051-80f2-2f789db52886,3.246753246753247E14,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",acb12462-2f82-3a72-8ee4-ffb7ff5a47ad,9.615384615384616E10,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",d098dc03-4caa-3c76-84df-bdd28659d40f,3.5971223021582735E8,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",1d718284-11cd-338b-8fa2-dca155579f9d,5.208333333333333E8,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",3a7921c8-147c-39e4-96c8-08e7e72a0d47,6.711409395973154E8,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",44c2d0e0-0745-3f3e-bffb-bfaea092e3c4,1028806.5843621399,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",4b4ead48-6399-327e-9739-5321ce805c7b,1.8832391713747647E11,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",4c93a806-0b15-3a3b-bb1c-a2efb81dc86e,7.518796992481203E9,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",5008587e-8d72-3402-80df-68e20d636b51,3.184713375796178E12,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",6f3b47a9-7d7b-3a96-b8c3-91139ae57f56,2.5773195876288663E11,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",73a47a0e-d1bf-302e-9ccb-5acd886512e3,9.174311926605505E8,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",a30f30eb-d5ff-3051-80f2-2f789db52886,3.5460992907801416E12,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",acb12462-2f82-3a72-8ee4-ffb7ff5a47ad,1.8214936247723132E8,,
CML-IA baseline,358549cd-1f6a-3091-83b7-06a7513ed880,"the Netherlands, 1997",d098dc03-4caa-3c76-84df-bdd28659d40f,173310.2253032929,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,038e1428-124d-3ebd-a2a4-80796ba7b083,4.504504504504505E11,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,0485279f-397e-3f34-8679-d1c42235f890,2.4449877750611245E12,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,0bea16eb-4460-3577-ba6d-dc0e7ad94f89,4.830917874396136E11,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,136de7e5-9df3-3042-9cb7-c29a555dd5b4,7.692307692307692E12,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,14115d11-89ed-3c11-9383-8b86785c9a1d,1.9801980198019802E10,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,28a3f2de-943b-3808-b3b8-2de1e23e58d5,4.424778761061947E11,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,315b12c8-458b-360e-9e68-2a1c645d7183,7.692307692307692E12,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,31c05950-42f9-341b-9772-aca9ca89590b,2.0833333333333332E10,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,389c9544-e4be-3c8e-bb52-7a3c9de6344c,6.060606060606061E11,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,3de1e36e-3cc3-3eea-9ab5-e2814d2bee70,2.506265664160401E10,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,41576d69-2a56-33bd-a568-c678d850cd7d,7.692307692307692E12,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,428548e5-7358-3604-9deb-81af8f917f4b,4.761904761904762E11,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,45a1d5ed-3a11-367b-8481-fa1454e44a5e,0.0,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,470968d9-813c-32af-9675-6b554ecee614,0.0,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,49e6b756-2603-3c01-a5b6-c8271bfa713a,6.493506493506493E9,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,53f7be3f-ec33-35e3-89ca-13c3fb1096ab,1.5015015015015015E8,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,6d819d27-b768-3ec0-bd28-009891e0e620,0.0,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,756d07c7-d0ea-3a0b-a4f0-e7dfb1c02bf1,1.1750881316098708E8,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,774e0ae8-f6b2-3d34-9b9f-39bc605bf283,1.2987012987012988E8,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,7a914e6b-7c5a-316c-aab4-333c674ef723,1.152073732718894E9,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,7abb5095-b896-34b2-84fa-e859bcc03a90,0.0,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,7c8de615-1806-3abd-9551-357803c9690f,3.0211480362537766E10,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,7da22b63-a6d3-32db-84be-a4d505895213,4.854368932038835E11,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,7e2ed9cf-17ee-3182-96db-35a5cce3fd3a,0.0,,
CML-IA non-baseline,56fa9d9b-191a-3300-8906-57591cd21951,EU25,7e62b926-ef36-3ede-b309-b4632ea60c17,4.9504950495049506E11,,
