ID,Name,Description,Category,Flow type,CAS number,Chem. formula,Reference flow property
19167fa7-a6fb-3a11-9cad-8fa77fc00585,Triclocarban,,"Elementary flows/Emission to air/low population density, long-term",elementary,000101-20-2,,Mass
9bae5d77-c095-47a2-bf9d-d2dde10bad4d,Triclocarban,,Elementary flows/Emission to soil/unspecified,elementary,000101-20-2,,Mass
89abc801-0d43-39fe-b404-b08b98009e0c,Triclocarban,,Elementary flows/Emission to soil/industrial,elementary,000101-20-2,,Mass
f85bd272-e7bd-336e-ae06-f70b8ca3d573,Triclocarban,,Elementary flows/Emission to air/low population density,elementary,000101-20-2,,Mass
86b50949-c097-393d-9254-54108aed5a1d,Triclocarban,,"Elementary flows/Emission to water/ground water, long-term",elementary,000101-20-2,,Mass
826e318b-9500-3b17-8c3c-45edf35b55ac,Triclocarban,,Elementary flows/Emission to water/river,elementary,000101-20-2,,Mass
2be3ff13-0ffd-331c-a661-9fd013a2a7f1,Triclocarban,,Elementary flows/Emission to air/indoor,elementary,000101-20-2,,Mass
fd2100b1-896c-3d7f-b788-5a82766f8913,Triclocarban,,Elementary flows/Emission to soil/agricultural,elementary,000101-20-2,,Mass
a84509f4-1e87-3f23-812f-ee2ef11b336e,Triclocarban,,Elementary flows/Emission to water/unspecified,elementary,000101-20-2,,Mass
fb8c2609-74be-3913-9bdb-c41c1e344ae5,Triclocarban,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,000101-20-2,,Mass
d00d3d62-3f65-32a9-a78b-9610dbae91e6,Triclocarban,,Elementary flows/Emission to air/high population density,elementary,000101-20-2,,Mass
fd0d4a45-7443-3b9b-9ed2-040c96b7f168,Triclocarban,,Elementary flows/Emission to soil/forestry,elementary,000101-20-2,,Mass
9d552237-dc05-3af6-9e24-dfe05b1d9369,Triclocarban,,Elementary flows/Emission to water/ocean,elementary,000101-20-2,,Mass
2b9fb571-8d26-471a-bc72-b0d9582679d5,Triclopyr,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,055335-06-3,,Mass
4af69e93-b74b-4094-ab4f-4c24897f1e77,Triclopyr,"EcoSpold 2 elementary exchange, ID = 4af69e93-b74b-4094-ab4f-4c24897f1e77",Elementary flows/Emission to water/surface water,elementary,55335-06-3,C7H4Cl3NO3,Mass
30b4e8cb-c4e6-4381-93d1-f718db846a05,Triclopyr,,"Elementary flows/Emission to water/ground water, long-term",elementary,055335-06-3,,Mass
6345814c-a94e-4834-acc2-790251876fd6,Triclopyr,,Elementary flows/Emission to air/unspecified,elementary,055335-06-3,,Mass
1ab36a53-75fb-4811-b206-cc0ba08bc1b3,Triclopyr,,Elementary flows/Emission to soil/unspecified,elementary,055335-06-3,C7H4Cl3NO3,Mass
92903903-fe08-42bf-9a02-d78dc800d247,Triclopyr,,"Elementary flows/Emission to water/fresh water, long-term",elementary,055335-06-3,,Mass
03a12582-4b3e-4128-b56e-f6fa0491dbe5,Triclopyr,,"Elementary flows/Emission to water/river, long-term",elementary,055335-06-3,,Mass
b127a9ff-8e28-4efd-8bfb-1389eeb4d994,Triclopyr,,Elementary flows/Emission to soil/industrial,elementary,055335-06-3,C7H4Cl3NO3,Mass
e44fd74a-5967-4e79-bad0-08e7363b630c,Triclopyr,"EcoSpold 2 elementary exchange, ID = e44fd74a-5967-4e79-bad0-08e7363b630c",Elementary flows/Emission to soil/agricultural,elementary,55335-06-3,C7H4Cl3NO3,Mass
1cbca713-18f5-4673-9e9e-8d5730f88e88,Triclopyr,,Elementary flows/Emission to water/fresh water,elementary,055335-06-3,,Mass
1b21477f-a158-42bf-a029-6708121925d2,Triclopyr,,Elementary flows/Emission to water/ocean,elementary,055335-06-3,C7H4Cl3NO3,Mass
3da8f0ee-1638-48c1-aa49-fbd9a56985b9,Triclopyr,,Elementary flows/Emission to air/low population density,elementary,055335-06-3,C7H4Cl3NO3,Mass
e81af254-0735-43a0-96e3-2963cdac72a0,Triclopyr,,Elementary flows/Emission to air/high population density,elementary,055335-06-3,C7H4Cl3NO3,Mass
0acc80ab-f0c5-4bce-8f70-3f230d7ed829,Triclopyr,,Elementary flows/Emission to water/unspecified,elementary,055335-06-3,,Mass
65105bdc-9536-44a1-bd98-9e3a544d1a93,Triclopyr,,Elementary flows/Emission to water/lake,elementary,055335-06-3,,Mass
66684dc8-fe24-4783-9b69-8024e3d7653f,Triclopyr,,Elementary flows/Emission to water/fossil-,elementary,055335-06-3,C7H4Cl3NO3,Mass
2c2be44b-f44e-4a72-9753-02ed276e8dc9,Triclopyr,,Elementary flows/Emission to water/river,elementary,055335-06-3,,Mass
dacebac1-e131-4a23-a78f-ec9d01556c79,Triclopyr,,"Elementary flows/Emission to air/low population density, long-term",elementary,055335-06-3,,Mass
2e01d48d-8d20-4dd5-ab6e-5dcb9ceac6a1,Triclopyr,,Elementary flows/Emission to soil/forestry,elementary,055335-06-3,C7H4Cl3NO3,Mass
e4898ee1-eee4-45ee-a04c-6ae26ea188db,Triclopyr,,Elementary flows/Emission to water/ground water,elementary,055335-06-3,,Mass
8be59c84-2a56-399d-8ea3-673260b1f2ae,Triclopyr,,Elementary flows/Emission to air/indoor,elementary,055335-06-3,,Mass
612cfa85-9914-37f3-b26f-5d880da98a8d,Triclopyr triethylammonium salt,,Elementary flows/Emission to soil/unspecified,elementary,057213-69-1,,Mass
e319781f-9ad5-3f22-bee7-13fadc27483f,Triclopyr triethylammonium salt,,"Elementary flows/Emission to water/ground water, long-term",elementary,057213-69-1,,Mass
e2308f37-7b59-3800-bd2f-0880e0585f30,Triclopyr triethylammonium salt,,Elementary flows/Emission to soil/forestry,elementary,057213-69-1,,Mass
a2665fc7-9e98-3690-b1fd-e81118036fdf,Triclopyr triethylammonium salt,,Elementary flows/Emission to air/unspecified,elementary,057213-69-1,,Mass
2b0ce117-d2df-398a-9166-d93188930561,Triclopyr triethylammonium salt,,"Elementary flows/Emission to air/low population density, long-term",elementary,057213-69-1,,Mass
ca1602c7-02d5-36d5-95c3-6df555e25a6d,Triclopyr triethylammonium salt,,Elementary flows/Emission to air/low population density,elementary,057213-69-1,,Mass
b799d361-79a5-3ed3-b154-dbed53acf410,Triclopyr triethylammonium salt,,Elementary flows/Emission to water/unspecified,elementary,057213-69-1,,Mass
4a99a932-15c2-3992-8a78-2eef4f19615d,Triclopyr triethylammonium salt,,Elementary flows/Emission to air/indoor,elementary,057213-69-1,,Mass
24bae66a-b6e4-342d-9b93-c5e723200cc6,Triclopyr triethylammonium salt,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,057213-69-1,,Mass
94fdadb9-889f-339b-ad1e-a15e6227ddad,Triclopyr triethylammonium salt,,Elementary flows/Emission to soil/agricultural,elementary,057213-69-1,,Mass
cc089959-8c14-3cdb-86d1-83c58de02b95,Triclopyr triethylammonium salt,,Elementary flows/Emission to water/ground water,elementary,057213-69-1,,Mass
18bbe743-d4d7-3357-92bd-f84cff88ee93,Triclopyr triethylammonium salt,,"Elementary flows/Emission to water/river, long-term",elementary,057213-69-1,,Mass
b93474e0-01ee-3b4a-ae72-833bc1c08e51,Triclopyr triethylammonium salt,,Elementary flows/Emission to water/ocean,elementary,057213-69-1,,Mass
d963944d-be9b-3fbf-846d-f4a22f0adf81,Triclopyr triethylammonium salt,,Elementary flows/Emission to water/lake,elementary,057213-69-1,,Mass
80095cc1-678a-3be1-ae8b-69adb9a76436,Triclopyr triethylammonium salt,,Elementary flows/Emission to soil/industrial,elementary,057213-69-1,,Mass
a9a236cf-8da7-3d31-8f05-54245ccb7909,Triclopyr triethylammonium salt,,Elementary flows/Emission to air/high population density,elementary,057213-69-1,,Mass
9f1328f4-4dde-3678-93cf-2b6c4a673125,Triclopyr triethylammonium salt,,Elementary flows/Emission to water/river,elementary,057213-69-1,,Mass
f2a3dbbf-f62f-30cf-ac54-377bd49d2d26,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to water/ground water,elementary,064700-56-7,,Mass
506b6339-be7b-3766-9ae0-a3b8596e2d39,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to air/unspecified,elementary,064700-56-7,,Mass
eaa3bd04-9972-36db-b663-e3fa986116bc,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to water/unspecified,elementary,064700-56-7,,Mass
7fc7453b-f906-334f-b591-a71bb61f507d,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to water/ocean,elementary,064700-56-7,,Mass
15e241af-0340-3541-b8d7-e3c4ea422996,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to soil/forestry,elementary,064700-56-7,,Mass
9d937015-7a50-3f98-aec4-607c15fc82a8,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to air/high population density,elementary,064700-56-7,,Mass
3e384589-e714-3d1a-bbdc-75fec0d6af44,"Triclopyr, butoxyethyl-",,"Elementary flows/Emission to water/river, long-term",elementary,064700-56-7,,Mass
b9ff00af-b8cd-4f0d-b795-7483e1571fd4,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to soil/agricultural,elementary,064700-56-7,,Mass
a4284a79-27f7-3b95-b2cc-044fe44541d6,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,064700-56-7,,Mass
84e97164-1deb-33c8-b5a3-835f9c0c900b,"Triclopyr, butoxyethyl-",,"Elementary flows/Emission to air/low population density, long-term",elementary,064700-56-7,,Mass
89f4e911-6121-3ba8-86e7-6ba0d2e78cfe,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to air/indoor,elementary,064700-56-7,,Mass
