"8fecafea-a852-3444-92c7-aca2caf5f2f3";"Ozone layer depletion (ODP) (optional) + EPD (2018).csv";"EPD (2018)";"Ozone layer depletion (ODP) (optional)";"kg CFC-11 eq"
"7e62b926-ef36-3ede-b309-b4632ea60c17";"Freshwater aquatic ecotox. 500a + CML-IA non-baseline.csv";"CML-IA non-baseline";"Freshwater aquatic ecotox. 500a";"kg 1,4-DB eq"
"f51ef6bb-2e8c-3993-afc7-a6b7173250f2";"Climate change - biogenic + EF Method (adapted).csv";"EF Method (adapted)";"Climate change - biogenic";"kg CO2 eq"
"bea0b2b0-4fc1-310b-8a6f-60ad1c11694f";"Terrestrial acidification + ReCiPe 2016 Endpoint (H).csv";"ReCiPe 2016 Endpoint (H)";"Terrestrial acidification";"species.yr"
"50e28051-854d-3e88-93b2-f3df883d558a";"Diarrhea + EPS 2015d.csv";"EPS 2015d";"Diarrhea";"PersonYr"
"72ed6954-464e-3801-967a-933254e1b484";"Intellectual disability mild + EPS 2015d.csv";"EPS 2015d";"Intellectual disability: mild";"PersonYr"
"8ffe04b4-e56c-3073-a87c-dc5f66aa40ae";"CO2 eq from land transformation + Greenhouse Gas Protocol.csv";"Greenhouse Gas Protocol";"CO2 eq from land transformation";"kg CO2 eq"
"02811db7-71f5-37a5-9fbf-815d309c5a21";"Ionising radiation + EN 15804 +A2 Method.csv";"EN 15804 +A2 Method";"Ionising radiation";"kBq U-235 eq"
"da98e46f-c2ee-3283-8ce0-bce330474c96";"Ozone depletion + EF Method (adapted).csv";"EF Method (adapted)";"Ozone depletion";"kg CFC11 eq"
"ca2be82b-0f72-3ee3-980a-4d49a7797685";"Global warming, Freshwater ecosystems + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Global warming, Freshwater ecosystems";"species.yr"
"16506dc7-b148-38fd-b429-80a3861c1d41";"Terrestrial acidification + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Terrestrial acidification";"species.yr"
"b9609a6a-7898-360a-8615-c5e35829eb78";"Ecotoxicity water chronic + EDIP 2003.csv";"EDIP 2003";"Ecotoxicity water chronic";"m3"
